"date","close_amt","moving_average_close","open_amt","moving_average_open","low_amt","moving_average_low","high_amt","moving_average_high"
"2019-06-03","31653.65","31156.410000000000","31406.05","31166.830000000000","31284.7","30826.330000000000","31674.6","31461.955000000000"
"2019-06-04","31589.05","31284.475000000000","31532.9","31233.910000000000","31512.95","30951.115000000000","31752.7","31544.555000000000"
"2019-06-06","30857.4","31317.535000000000","31523.95","31345.240000000000","30800.8","31004.335000000000","31541.5","31631.195000000000"
"2019-06-07","31066.55","31383.280000000000","30943.15","31343.275000000000","30627.05","31037.805000000000","31139.6","31574.655000000000"
"2019-06-10","31034","31365.425000000000","31259.2","31400.645000000000","30861.3","31067.495000000000","31367.4","31583.855000000000"
"2019-06-11","31265.45","31327.205000000000","31172.25","31394.380000000000","30973.35","31050.580000000000","31399.35","31553.715000000000"
"2019-06-12","30965.7","31263.985000000000","31219.3","31345.180000000000","30911.45","31008.865000000000","31222.3","31504.705000000000"
"2019-06-13","30976.1","31232.040000000000","30876.75","31286.930000000000","30638.25","30946.900000000000","31036.9","31453.720000000000"
"2019-06-14","30614.35","31139.765000000000","30983.45","31259.590000000000","30508.95","30874.185000000000","31032.65","31395.060000000000"
"2019-06-17","30273.25","31029.550000000000","30652","31156.900000000000","30249.4","30836.820000000000","30684.05","31285.105000000000"
"2019-06-18","30351","30899.285000000000","30299.45","31046.240000000000","30222.85","30730.635000000000","30550.65","31172.710000000000"
"2019-06-19","30362.1","30776.590000000000","30526.5","30945.600000000000","30242","30603.540000000000","30699.15","31067.355000000000"
"2019-06-20","30781.1","30768.960000000000","30390.2","30832.225000000000","30220.7","30545.530000000000","30824.55","30995.660000000000"
"2019-06-21","30628.35","30725.140000000000","30804.95","30818.405000000000","30541.5","30536.975000000000","30804.95","30962.195000000000"
"2019-06-24","30602.05","30681.945000000000","30680.95","30760.580000000000","30528","30503.645000000000","30783.65","30903.820000000000"
"2019-06-25","30847.05","30640.105000000000","30567.65","30700.120000000000","30451.4","30451.450000000000","30913.25","30855.210000000000"
"2019-06-26","31162.35","30659.770000000000","30809.2","30659.110000000000","30766.65","30436.970000000000","31202.7","30853.250000000000"
"2019-06-27","31269.5","30689.110000000000","31192.1","30690.645000000000","31158.8","30489.025000000000","31490.6","30898.620000000000"
"2019-06-28","31105.2","30738.195000000000","31281","30720.400000000000","31060.6","30544.190000000000","31308.9","30926.245000000000"
"2019-07-01","31372.2","30848.090000000000","31271","30782.300000000000","31246.45","30643.895000000000","31450.35","31002.875000000000"
"2019-07-02","31283.3","30941.320000000000","31414.65","30893.820000000000","31105.1","30732.120000000000","31431.35","31090.945000000000"
"2019-07-03","31382.3","31043.340000000000","31347.7","30975.940000000000","31238.5","30831.770000000000","31467.15","31167.745000000000"
"2019-07-04","31471.85","31112.415000000000","31471","31084.020000000000","31428.05","30952.505000000000","31608.35","31246.125000000000"
"2019-07-05","31475.8","31197.160000000000","31523.05","31155.830000000000","31323.25","31030.680000000000","31660.75","31331.705000000000"
"2019-07-08","30603.85","31197.340000000000","31346.85","31222.420000000000","30536.75","31031.555000000000","31370.4","31390.380000000000"
"2019-07-09","30569.15","31169.550000000000","30533.4","31218.995000000000","30346.7","31021.085000000000","30702.1","31369.265000000000"
"2019-07-10","30522.1","31105.525000000000","30618.05","31199.880000000000","30428.6","30987.280000000000","30728.35","31321.830000000000"
"2019-07-11","30716.55","31050.230000000000","30707","31151.370000000000","30565.35","30927.935000000000","30788.05","31251.575000000000"
"2019-07-12","30601.45","30999.855000000000","30789.75","31102.245000000000","30548.3","30876.705000000000","30870.95","31207.780000000000"
"2019-07-15","30445.95","30907.230000000000","30688.85","31044.030000000000","30334.2","30785.480000000000","30695.7","31132.315000000000"
"2019-07-16","30570.8","30835.980000000000","30532.65","30955.830000000000","30429.9","30717.960000000000","30635","31052.680000000000"
"2019-07-17","30735.5","30771.300000000000","30622.25","30883.285000000000","30568.3","30650.940000000000","30799.7","30985.935000000000"
"2019-07-18","30430.6","30667.175000000000","30705.8","30806.765000000000","30378.6","30545.995000000000","30769.35","30902.035000000000"
"2019-07-19","29770.35","30496.630000000000","30515.1","30705.970000000000","29705.75","30384.245000000000","30543.75","30790.335000000000"
"2019-07-22","29284.95","30364.740000000000","29617.05","30532.990000000000","29194.1","30249.980000000000","29635.15","30616.810000000000"
"2019-07-23","29128.1","30220.635000000000","29342.45","30413.895000000000","29078.15","30123.125000000000","29365.8","30483.180000000000"
"2019-07-24","28952.25","30063.650000000000","29085.45","30260.635000000000","28871","29967.365000000000","29252.4","30335.585000000000"
"2019-07-25","29043.05","29896.300000000000","28981.05","30088.040000000000","28931.05","29803.935000000000","29240.8","30180.860000000000"
"2019-07-26","29325.3","29768.685000000000","29062.5","29915.315000000000","28994.5","29648.555000000000","29379.1","30031.675000000000"
"2019-07-29","29295.9","29653.680000000000","29583.45","29804.775000000000","29104.85","29525.620000000000","29592.95","29921.400000000000"
"2019-07-30","28791.6","29475.760000000000","29434.85","29694.995000000000","28737.8","29356.410000000000","29530.3","29810.930000000000"
"2019-07-31","28876","29289.810000000000","28575.45","29490.315000000000","28529.75","29152.555000000000","28979.75","29628.935000000000"
"2019-08-01","28367.25","29083.475000000000","28660.5","29285.785000000000","28047.35","28919.430000000000","28819.7","29433.970000000000"
"2019-08-02","28204.95","28926.935000000000","28224.25","29056.700000000000","27936.35","28742.490000000000","28544.55","29234.050000000000"
"2019-08-05","27648.05","28763.245000000000","27841.2","28879.115000000000","27389.5","28562.030000000000","27866.55","29057.190000000000"
"2019-08-06","28022.1","28652.645000000000","27518.5","28696.720000000000","27503.9","28404.605000000000","28148.4","28935.450000000000"
"2019-08-07","27702.05","28527.625000000000","28053.85","28593.560000000000","27641.85","28281.690000000000","28175.55","28827.765000000000"
"2019-08-08","28110.45","28434.365000000000","27840.1","28479.465000000000","27531.05","28141.690000000000","28227.55","28726.440000000000"
"2019-08-09","28431.9","28345.025000000000","28293.65","28402.580000000000","28251.75","28067.415000000000","28602.75","28648.805000000000"
"2019-08-13","27729.1","28188.345000000000","28356.8","28279.915000000000","27683.5","27925.280000000000","28358.85","28525.395000000000"
"2019-08-14","28019.2","28111.105000000000","27885.5","28124.980000000000","27726.65","27824.165000000000","28107.05","28383.070000000000"
"2019-08-16","28217","28045.205000000000","27920.3","28059.465000000000","27720.95","27743.285000000000","28251.05","28310.200000000000"
"2019-08-19","28186.1","28027.090000000000","28331.25","28026.540000000000","28146.5","27753.200000000000","28468.9","28275.120000000000"
"2019-08-20","27982.45","28004.840000000000","28163.55","28020.470000000000","27839.65","27743.530000000000","28215.4","28242.205000000000"
"2019-08-21","27719.05","28011.940000000000","28021","28038.450000000000","27666.2","27771.200000000000","28098.9","28265.440000000000"
"2019-08-22","27034.2","27913.150000000000","27690.05","28055.605000000000","26975.55","27718.365000000000","27690.05","28219.605000000000"
"2019-08-23","26958.65","27838.810000000000","26835.35","27933.755000000000","26560.6","27610.240000000000","27207.3","28122.780000000000"
"2019-08-26","27951.35","27822.900000000000","27663.95","27916.140000000000","26859.35","27543.070000000000","27995.25","28099.550000000000"
"2019-08-27","28126.15","27792.325000000000","28106.3","27897.405000000000","27960.8","27513.975000000000","28277.7","28067.045000000000"
"2019-08-28","27804.3","27799.845000000000","28080.25","27869.750000000000","27634.65","27509.090000000000","28095.55","28040.715000000000"
"2019-08-29","27305.2","27728.445000000000","27694.95","27850.695000000000","27239.95","27460.420000000000","27719.05","28001.915000000000"
